Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91100;91101;2;863;28;10;43;19;11;5;20;11;16;156;544;20110101
AT1;AT13;AT130;91100;91102;2;6922;630;379;95;140;183;40;125;78;63;719;4470;20110101
AT1;AT13;AT130;91100;91103;2;8131;724;575;119;212;289;63;163;79;82;903;4922;20110101
AT1;AT13;AT130;91100;91104;2;2256;207;114;20;53;61;13;26;25;13;218;1506;20110101
AT1;AT13;AT130;91100;91105;2;5302;254;217;74;108;101;20;62;51;33;381;4001;20110101
AT1;AT13;AT130;91100;91106;2;157;11;9;0;1;4;0;1;1;1;5;124;20110101
AT1;AT13;AT130;91100;91107;2;3495;169;155;54;62;55;12;38;51;28;214;2657;20110101
AT1;AT13;AT130;91100;91108;2;431;8;1;1;7;7;4;0;3;2;19;379;20110101
AT1;AT13;AT130;91100;91109;2;1255;43;8;30;32;8;6;33;10;14;68;1003;20110101
AT1;AT13;AT130;91100;91110;2;13178;548;619;174;296;308;52;243;131;105;938;9764;20110101
AT1;AT13;AT130;91100;91111;2;2241;89;74;22;43;39;7;63;26;51;422;1405;20110101
AT1;AT13;AT130;91100;91112;2;160;6;2;3;0;2;0;10;0;3;8;126;20110101
AT1;AT13;AT130;91100;91113;2;2181;89;47;49;73;31;14;25;31;22;143;1657;20110101
AT1;AT13;AT130;91100;91199;2;72;1;0;1;0;0;0;0;0;1;0;69;20110101
AT1;AT13;AT130;91200;91201;2;1986;191;104;40;50;63;15;33;25;19;283;1163;20110101
AT1;AT13;AT130;91200;91202;2;8947;877;484;153;317;312;70;148;97;79;1067;5343;20110101
AT1;AT13;AT130;91200;91203;2;2580;202;214;36;50;61;12;37;29;18;308;1613;20110101
AT1;AT13;AT130;91200;91204;2;4252;398;212;98;120;127;41;105;41;51;534;2525;20110101
AT1;AT13;AT130;91200;91205;2;4278;343;229;95;112;116;39;65;54;37;450;2738;20110101
AT1;AT13;AT130;91200;91206;2;4467;433;130;184;135;134;35;72;53;65;490;2736;20110101
AT1;AT13;AT130;91200;91207;2;3578;178;153;67;72;52;16;37;45;31;327;2600;20110101
AT1;AT13;AT130;91200;91208;2;2219;212;113;36;59;89;17;20;38;16;196;1423;20110101
AT1;AT13;AT130;91200;91209;2;4084;257;320;32;59;75;16;27;30;23;554;2691;20110101
AT1;AT13;AT130;91200;91210;2;4768;197;182;84;103;152;38;59;49;39;429;3436;20110101
AT1;AT13;AT130;91200;91211;2;5068;136;73;131;80;51;27;54;69;39;350;4058;20110101
AT1;AT13;AT130;91200;91299;2;42;0;0;0;2;1;0;0;0;0;0;39;20110101
AT1;AT13;AT130;91300;91301;2;243;15;1;18;0;2;1;4;7;2;15;178;20110101
AT1;AT13;AT130;91300;91302;2;3330;69;19;194;59;17;17;16;44;31;387;2477;20110101
AT1;AT13;AT130;91300;91303;2;4815;145;38;203;84;37;15;43;74;62;492;3622;20110101
AT1;AT13;AT130;91300;91304;2;5573;112;35;221;91;29;15;41;109;61;488;4371;20110101
AT1;AT13;AT130;91300;91305;2;2310;70;8;90;34;11;7;22;38;16;198;1816;20110101
AT1;AT13;AT130;91300;91306;2;1359;35;5;55;28;11;4;8;11;11;139;1052;20110101
AT1;AT13;AT130;91300;91307;2;1771;63;29;55;27;26;6;9;42;23;144;1347;20110101
AT1;AT13;AT130;91300;91308;2;3539;82;26;107;47;20;9;32;71;43;299;2803;20110101
AT1;AT13;AT130;91300;91309;2;2895;102;37;62;43;12;4;17;66;19;245;2288;20110101
AT1;AT13;AT130;91300;91310;2;28;0;2;0;0;1;0;0;0;0;0;25;20110101
AT1;AT13;AT130;91300;91311;2;2257;16;0;69;28;3;5;8;43;7;167;1911;20110101
AT1;AT13;AT130;91300;91399;2;25;0;0;1;0;0;0;0;0;0;3;21;20110101
AT1;AT13;AT130;91400;91401;2;3397;270;93;80;92;85;25;34;41;21;289;2367;20110101
AT1;AT13;AT130;91400;91402;2;4245;550;264;103;168;171;45;116;46;36;410;2336;20110101
AT1;AT13;AT130;91400;91403;2;4581;255;84;177;102;57;33;51;61;50;454;3257;20110101
AT1;AT13;AT130;91400;91404;2;10153;782;322;196;254;282;80;162;141;89;804;7041;20110101
AT1;AT13;AT130;91400;91405;2;2151;89;42;45;36;24;6;18;24;14;116;1737;20110101
AT1;AT13;AT130;91400;91406;2;6414;334;135;149;142;128;42;80;95;55;514;4740;20110101
AT1;AT13;AT130;91400;91407;2;1577;109;55;17;32;34;10;17;16;3;112;1172;20110101
AT1;AT13;AT130;91400;91408;2;2054;56;22;44;21;20;10;13;30;17;140;1681;20110101
AT1;AT13;AT130;91400;91409;2;109;4;0;1;1;4;0;5;1;2;4;87;20110101
AT1;AT13;AT130;91400;91410;2;3849;98;33;116;46;36;15;35;53;31;285;3101;20110101
AT1;AT13;AT130;91400;91411;2;3337;19;9;104;32;5;6;17;79;28;197;2841;20110101
AT1;AT13;AT130;91400;91412;2;2911;49;15;87;34;22;9;10;34;15;205;2431;20110101
AT1;AT13;AT130;91400;91499;2;115;2;0;3;4;3;0;2;1;0;4;96;20110101
AT1;AT13;AT130;91500;91501;2;5356;517;261;125;140;180;55;82;71;61;516;3348;20110101
AT1;AT13;AT130;91500;91502;2;4643;603;272;126;183;214;57;105;28;57;616;2382;20110101
AT1;AT13;AT130;91500;91503;2;5839;722;367;146;161;277;62;141;46;82;880;2955;20110101
AT1;AT13;AT130;91500;91504;2;3698;408;259;77;130;167;38;52;35;46;574;1912;20110101
AT1;AT13;AT130;91500;91505;2;5641;499;271;143;129;196;46;129;70;59;678;3421;20110101
AT1;AT13;AT130;91500;91506;2;7052;947;422;148;269;307;70;170;55;62;793;3809;20110101
AT1;AT13;AT130;91500;91507;2;4487;377;218;71;115;133;40;53;60;33;337;3050;20110101
AT1;AT13;AT130;91500;91599;2;27;0;0;0;1;1;0;3;0;0;18;4;20110101
AT1;AT13;AT130;91600;91601;2;6883;841;518;177;184;208;51;144;57;64;844;3795;20110101
AT1;AT13;AT130;91600;91602;2;4008;610;379;83;154;172;30;106;28;40;529;1877;20110101
AT1;AT13;AT130;91600;91603;2;6273;590;363;100;155;167;44;57;83;45;478;4191;20110101
AT1;AT13;AT130;91600;91604;2;4191;365;200;81;109;114;25;81;49;26;355;2786;20110101
AT1;AT13;AT130;91600;91605;2;7916;895;298;164;251;259;77;144;69;70;683;5006;20110101
AT1;AT13;AT130;91600;91606;2;5305;425;283;97;98;103;31;49;69;20;430;3700;20110101
AT1;AT13;AT130;91600;91607;2;4935;415;239;92;131;104;19;49;49;27;381;3429;20110101
AT1;AT13;AT130;91600;91608;2;1683;40;31;33;22;10;7;10;23;15;74;1418;20110101
AT1;AT13;AT130;91600;91609;2;2799;29;12;99;28;17;8;6;46;14;157;2383;20110101
AT1;AT13;AT130;91600;91610;2;5042;875;488;108;155;199;62;108;46;27;605;2369;20110101
AT1;AT13;AT130;91600;91699;2;253;4;0;4;1;2;1;2;6;0;4;229;20110101
AT1;AT13;AT130;91700;91701;2;5285;587;203;146;167;159;35;113;62;51;595;3167;20110101
AT1;AT13;AT130;91700;91702;2;6989;755;303;162;225;230;67;121;59;65;824;4178;20110101
AT1;AT13;AT130;91700;91703;2;8698;921;323;188;234;329;71;133;98;76;824;5501;20110101
AT1;AT13;AT130;91700;91704;2;2079;50;9;60;24;13;6;10;40;7;151;1709;20110101
AT1;AT13;AT130;91700;91705;2;3126;93;38;88;39;19;13;13;52;20;243;2508;20110101
AT1;AT13;AT130;91700;91706;2;1281;26;6;45;14;7;3;11;22;16;175;956;20110101
AT1;AT13;AT130;91700;91799;2;53;0;2;1;3;1;0;0;0;0;1;45;20110101
AT1;AT13;AT130;91800;91801;2;1148;7;5;73;6;1;7;9;19;12;176;833;20110101
AT1;AT13;AT130;91800;91802;2;7499;399;145;289;159;96;31;86;114;72;900;5208;20110101
AT1;AT13;AT130;91800;91803;2;7707;672;209;297;217;178;61;148;78;83;887;4877;20110101
AT1;AT13;AT130;91800;91804;2;4759;154;53;161;75;42;13;49;62;55;513;3582;20110101
AT1;AT13;AT130;91800;91805;2;4944;76;19;207;47;15;9;29;84;52;618;3788;20110101
AT1;AT13;AT130;91800;91899;2;1;0;0;1;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;91900;91901;2;3071;69;30;140;52;20;9;20;59;45;346;2281;20110101
AT1;AT13;AT130;91900;91902;2;5210;285;138;113;97;70;23;37;85;57;625;3680;20110101
AT1;AT13;AT130;91900;91903;2;132;2;6;3;3;2;3;1;0;5;23;84;20110101
AT1;AT13;AT130;91900;91904;2;7298;266;137;253;129;87;29;73;114;87;1046;5077;20110101
AT1;AT13;AT130;91900;91905;2;3872;108;31;157;53;40;15;36;56;64;553;2759;20110101
AT1;AT13;AT130;91900;91906;2;2603;30;14;87;28;10;6;12;48;24;401;1943;20110101
AT1;AT13;AT130;91900;91907;2;1556;24;9;63;17;4;4;19;28;18;197;1173;20110101
